id;titre;description;type;date_debut;date_fermeture;statut;latitude;longitude;declarant_id
1;up along aha;doubter;INONDATION;2026-04-18T04:02:01;2026-04-18T04:17:56;FERMEE;-4.81;145.49;1
2;twine spice beside;bashfully wide brr;AUTRE;2026-04-17T18:11:30;2026-04-18T04:47:53;FERMEE;-78.94;96.14;2
3;save indeed;once;GLISSEMENT_TERRAIN;2026-04-18T05:27:48;2026-04-18T03:19:46;ACTIVE;26.92;51.04;2
4;feather perky;upon remand;AUTRE;2026-04-17T19:17:02;2026-04-18T13:45:51;ACTIVE;-15.48;106.91;2
5;woot;progress;ACCIDENT_INDUSTRIEL;2026-04-18T00:39:47;2026-04-17T18:01:23;ACTIVE;45.96;-43.06;1
6;versus until;and;FEU_FORET;2026-04-17T17:40:00;2026-04-18T10:12:50;ACTIVE;-0.49;140.2;2
7;arbitrate;yet;GLISSEMENT_TERRAIN;2026-04-18T01:49:44;2026-04-17T22:31:58;FERMEE;77.83;101.78;2
8;exactly wholly;epic that interestingly;ACCIDENT_INDUSTRIEL;2026-04-18T05:34:27;2026-04-17T20:09:37;FERMEE;-15.35;-45.5;1
9;adumbrate;yet incidentally;ACCIDENT_INDUSTRIEL;2026-04-18T00:03:22;2026-04-17T15:42:53;FERMEE;-40.3;-0.55;2
10;finally drat sticky;boo pro;AUTRE;2026-04-18T03:29:37;2026-04-17T21:20:45;FERMEE;81.55;171.38;1
11;pish which;solidly impure;GLISSEMENT_TERRAIN;2026-04-18T05:09:48;2026-04-18T11:43:05;ACTIVE;41.01;176.46;1
12;till;successfully mask vacation;AUTRE;2026-04-18T04:32:05;2026-04-17T23:37:09;FERMEE;67;82.88;1
13;calculating along despite;yowza overburden ah;ACCIDENT_INDUSTRIEL;2026-04-17T17:19:17;2026-04-18T11:38:02;ACTIVE;50.74;119.64;2
14;any gah;er;FEU_FORET;2026-04-17T15:37:10;2026-04-17T19:29:57;FERMEE;-28.04;-71.58;2
15;political;ha;GLISSEMENT_TERRAIN;2026-04-17T19:35:01;2026-04-17T22:08:18;ACTIVE;48.42;-134.97;1
16;whoever;spanish accomplished;ACCIDENT_INDUSTRIEL;2026-04-17T18:19:20;2026-04-17T19:56:49;ACTIVE;48.61;-28.47;1
17;awareness;until camouflage;ACCIDENT_INDUSTRIEL;2026-04-18T00:29:31;2026-04-18T06:03:04;FERMEE;88.92;53.08;2
18;eek massive ouch;soft;GLISSEMENT_TERRAIN;2026-04-17T19:59:41;2026-04-17T21:51:20;ACTIVE;38.66;65.36;2
19;amid;knickers than;ACCIDENT_INDUSTRIEL;2026-04-18T00:23:13;2026-04-18T02:02:55;ACTIVE;74.9;117.27;1
20;tense of buttery;juicy;INONDATION;2026-04-18T12:50:04;2026-04-17T20:37:23;ACTIVE;-31.72;-123.86;1
21;claw eek;finally owlishly;AUTRE;2026-04-18T08:31:47;2026-04-17T17:37:06;FERMEE;-10.01;-70.49;2
22;boiling rosemary;oof sesame overstay;FEU_FORET;2026-04-18T09:34:04;2026-04-18T06:11:23;FERMEE;-1.7;92.62;1
23;sequester sheathe dulcimer;like;GLISSEMENT_TERRAIN;2026-04-18T00:20:00;2026-04-18T08:13:44;FERMEE;-24.66;-82.02;1
24;cutlet cannon ah;request capsize;INONDATION;2026-04-18T04:58:58;2026-04-18T11:41:32;FERMEE;2.51;179.24;1
25;colorfully mill near;worth meh beneath;ACCIDENT_INDUSTRIEL;2026-04-18T01:17:25;2026-04-17T23:08:39;FERMEE;-2.07;-43.14;2
26;minus shyly concrete;now ouch;INONDATION;2026-04-17T20:09:11;2026-04-17T21:09:21;FERMEE;25.9;119.63;2
27;scare deliberately;wherever beautifully usually;AUTRE;2026-04-18T02:40:04;2026-04-17T21:34:55;ACTIVE;39.29;-65.07;2
28;outside barge;whoever tuba;AUTRE;2026-04-18T10:55:39;2026-04-17T15:20:05;ACTIVE;-77.51;145.01;2
29;dearest for what;boastfully seemingly forager;GLISSEMENT_TERRAIN;2026-04-18T06:21:39;2026-04-18T12:02:35;ACTIVE;-62.75;163.97;2
30;carnival as striking;zesty doorpost;INONDATION;2026-04-18T06:09:02;2026-04-17T20:45:08;ACTIVE;36.14;73.1;1
