id;titre;description;statut;date_creation;date_mise_a_jour;latitude;longitude;archivee;sinistre_id;crise_id
1;after definite;wedding when hastily;FERMEE;2026-04-18T04:19:48;2026-04-18T04:23:39;-81.85;36.6;true;1;1
2;brr;whether while throughout;FERMEE;2026-04-17T14:56:22;2026-04-18T07:36:42;-18.66;-17.24;true;2;2
3;whose;hungry entry;OUVERTE;2026-04-18T03:09:47;2026-04-17T21:08:37;31.39;103.34;false;1;3
4;after querulous;plus concentration;RESOLUE;2026-04-18T08:06:36;2026-04-18T04:25:09;-40.16;32.59;true;2;4
5;represent quizzically absent;ah;EN_COURS;2026-04-18T05:40:07;2026-04-18T00:27:37;74.57;50.49;false;2;5
6;even tributary till;hm;OUVERTE;2026-04-18T08:12:59;2026-04-18T01:23:43;-56.83;-36.13;true;2;6
7;westernize unless soggy;frugal;EN_COURS;2026-04-18T08:28:39;2026-04-17T18:46:35;12.79;-176.61;true;2;7
8;prejudge;mallard slap;FERMEE;2026-04-17T20:43:19;2026-04-18T13:12:08;-61.46;17.73;true;2;8
9;by near;within;FERMEE;2026-04-18T11:57:21;2026-04-17T22:58:42;-23.52;176.8;true;1;9
10;into gosh;phew;EN_COURS;2026-04-18T00:04:35;2026-04-18T04:01:09;-15.66;28.18;false;1;10
11;gallery onto because;dowse intrepid;FERMEE;2026-04-18T13:29:28;2026-04-18T14:02:37;23.19;-60.09;false;1;11
12;ostrich;fatally an overconfidently;OUVERTE;2026-04-18T03:36:27;2026-04-17T14:32:46;82.77;-163.49;true;1;12
13;quaff athletic;boldly brr;FERMEE;2026-04-18T00:04:41;2026-04-18T14:01:00;-18.79;-0.9;true;2;13
14;arbitrate until crackle;new powerfully blight;RESOLUE;2026-04-17T20:23:57;2026-04-18T02:49:27;7.18;80.17;true;1;14
15;unlike insistent discrete;address from quintessential;RESOLUE;2026-04-17T23:58:06;2026-04-17T17:07:22;-89.19;108.09;true;2;15
16;boohoo where;mechanically;FERMEE;2026-04-18T05:22:49;2026-04-17T19:12:25;-17.91;64.31;true;2;16
17;gosh;jungle failing;OUVERTE;2026-04-18T00:48:53;2026-04-18T11:54:56;-74.49;104.88;true;2;17
18;co-producer gee;behold zowie sweetly;RESOLUE;2026-04-18T04:57:15;2026-04-18T11:06:37;-55.11;34.67;true;2;18
19;extract appertain;sandbar interestingly with;OUVERTE;2026-04-17T23:54:38;2026-04-18T06:13:33;56.03;152.1;true;2;19
20;anxiously especially;variable incidentally grounded;RESOLUE;2026-04-17T21:13:54;2026-04-18T03:13:32;-70.85;75.24;true;2;20
21;enormously;bah longingly;FERMEE;2026-04-17T15:19:34;2026-04-18T04:38:39;88.51;-6.97;true;1;21
22;recovery despite duster;tasty unto;RESOLUE;2026-04-17T16:51:24;2026-04-17T18:37:07;-39.92;75.85;false;1;22
23;corny instead plan;sheepishly zowie;FERMEE;2026-04-18T13:59:44;2026-04-17T17:27:51;-42.56;117.07;false;2;23
24;madly;physical midst;FERMEE;2026-04-17T16:45:02;2026-04-17T16:50:13;29.18;-146.14;true;2;24
25;whose;tame gosh weakly;OUVERTE;2026-04-18T00:03:59;2026-04-17T23:39:02;-43.02;-155.01;false;2;25
26;with lonely ha;roughly openly;OUVERTE;2026-04-18T12:47:16;2026-04-17T22:09:47;-30.02;-63.22;false;2;26
27;meh anxiously steep;valiantly mmm;RESOLUE;2026-04-17T19:54:08;2026-04-18T11:59:02;54.94;-166.26;true;2;27
28;um fooey;failing fast;EN_COURS;2026-04-18T07:12:24;2026-04-17T21:35:16;20.93;69.69;true;2;28
29;emulsify joyously;knavishly;EN_COURS;2026-04-17T14:29:46;2026-04-18T11:53:27;83.3;-54.33;true;2;29
30;materialise conversation;bracelet lonely;RESOLUE;2026-04-17T17:58:35;2026-04-18T08:40:23;-27.6;-54.71;false;2;30
