id;titre;contenu;date_publication;latitude;longitude;auteur_id;crise_id
1;nor;ick hm throughout;2026-04-18T09:44:38;25.63;58.2;1;1
2;hypothesise;compromise shush boo;2026-04-18T03:17:11;-73.31;-127.37;2;2
3;snow bitter whose;blah rarely;2026-04-17T17:18:02;-61.34;58.01;2;3
4;cauliflower;who unless milky;2026-04-18T03:07:22;61.71;10.46;1;4
5;starch minority;huzzah before;2026-04-18T02:24:51;-75.41;-8.91;2;5
6;always except stunning;loosely next;2026-04-18T10:46:43;28.84;-34.38;1;6
7;mortise blah;deliberately;2026-04-17T17:05:17;58.6;-166.98;2;7
8;obesity than into;taut lest;2026-04-17T16:36:52;-54.09;65.4;2;8
9;approximate;austere;2026-04-18T10:47:58;27.68;169.74;2;9
10;however bog;without;2026-04-18T11:52:18;80.06;-1.03;2;10
11;thoroughly;fondly warming;2026-04-17T21:35:59;11.68;83.3;2;11
12;pace;whoever metabolite;2026-04-17T14:59:55;-29.08;-15.49;2;12
13;boohoo;carpool;2026-04-17T14:53:53;-75.57;-53.99;2;13
14;regarding;affiliate gallery;2026-04-18T13:22:14;-86.12;75.39;2;14
15;whose that;acceptable colonialism whoa;2026-04-18T03:36:38;-33.59;85.6;1;15
16;emerge;cumbersome;2026-04-17T23:29:52;34.64;38.85;1;16
17;stool far-off;whether but;2026-04-18T12:29:13;59.34;-15.68;2;17
18;brr famously;exacerbate pish;2026-04-17T16:20:00;-0.8;-2.63;2;18
19;polite qua psst;inside;2026-04-17T18:04:24;39.53;-133.88;2;19
20;crushing;quirkily;2026-04-18T00:06:08;54.54;-23.28;2;20
21;monocle extra-large;why;2026-04-17T20:44:38;36.62;3.37;2;21
22;onto;until below;2026-04-18T04:07:53;-88.64;9.59;2;22
23;tomorrow psst;whoa energetically since;2026-04-18T00:51:59;-87.69;-65.31;2;23
24;an unless;ick mmm;2026-04-18T08:52:54;-78.87;101.22;1;24
25;smug boldly painfully;youthful release provided;2026-04-18T08:10:15;-1.64;-18.55;2;25
26;intermesh;coast ick who;2026-04-17T20:45:07;-6.3;23.6;2;26
27;likewise than;depart;2026-04-18T08:48:16;32.99;-84.23;2;27
28;fooey across;slope opposite yippee;2026-04-17T23:19:10;52.08;31.14;2;28
29;cutover aha up;hype lanky;2026-04-17T20:46:25;75.85;8.94;1;29
30;factorise supposing;jittery typify;2026-04-17T17:13:41;-89.53;-38.58;1;30
