id;titre;description;date_creation;date_mise_a_jour;latitude;longitude;archivee;active;citoyen_id;crise_id
1;whoever ripe successfully;oddball svelte however;2026-04-18T07:30:24;2026-04-18T01:22:05;7.72;120.82;true;false;1;1
2;frankly inwardly;hydrant via eek;2026-04-18T02:27:17;2026-04-17T17:11:26;-88.96;9.35;true;false;2;2
3;boohoo garage;consequently whine;2026-04-17T19:21:00;2026-04-17T20:19:48;-61.21;89.43;false;false;1;3
4;frankly ack;perky anenst;2026-04-17T21:32:14;2026-04-17T16:24:28;-60.57;-124.5;false;false;1;4
5;like regularly savour;idle disarm;2026-04-18T08:47:42;2026-04-17T21:38:27;-79.24;-71.65;false;true;1;5
6;commodity jogging during;against unless;2026-04-18T00:26:27;2026-04-18T05:40:14;81.95;-77.74;false;true;2;6
7;retrospectivity generously trash;swing;2026-04-18T09:41:49;2026-04-18T09:33:19;-55.23;76.26;false;false;2;7
8;nippy incidentally;meh wallop;2026-04-17T21:23:38;2026-04-17T23:12:19;49.22;-126.64;true;false;1;8
9;tomography negligible unless;jagged;2026-04-17T15:18:06;2026-04-18T01:10:42;-1.66;-53.32;true;false;1;9
10;who unto;questioningly;2026-04-18T08:20:28;2026-04-18T07:19:26;-50.48;-128.37;false;true;1;10
11;operating;aha;2026-04-17T22:18:37;2026-04-18T12:05:18;-6.48;68.69;false;true;1;11
12;cycle;once readily annually;2026-04-17T18:50:48;2026-04-18T05:09:19;-37.31;-99.73;false;false;2;12
13;immense chunder;bah sandy;2026-04-17T14:25:44;2026-04-17T15:42:21;-29.5;-118.36;false;false;2;13
14;hidden;descent whoa whereas;2026-04-17T15:11:29;2026-04-17T15:15:16;-23.95;168.09;false;false;2;14
15;cautiously monstrous gracefully;boo inure;2026-04-17T21:46:14;2026-04-18T02:00:57;-71.35;145.39;false;true;1;15
16;as er;dwell crystallize;2026-04-17T17:33:59;2026-04-17T21:03:17;52.05;179.36;true;true;2;16
17;creamy wafer import;calculating sock hutch;2026-04-18T11:59:27;2026-04-17T17:30:33;-57.14;-139.84;true;true;1;17
18;lest cantaloupe depend;although;2026-04-18T05:59:57;2026-04-18T07:40:32;18.84;-137.16;true;true;1;18
19;kiddingly above;yippee;2026-04-18T11:02:48;2026-04-18T00:36:02;-45.02;-131.11;false;true;2;19
20;ferociously worth;gratefully;2026-04-18T13:14:19;2026-04-18T00:40:30;73.58;141.88;true;false;1;20
21;uh-huh hungrily;conjecture bah scuffle;2026-04-18T08:36:19;2026-04-18T11:40:49;-37.83;-71.77;true;false;1;21
22;memorable but if;pfft barring tattered;2026-04-17T17:25:32;2026-04-17T23:03:00;18.34;-8.63;false;false;2;22
23;dirty puppet;provided ew kaleidoscopic;2026-04-18T02:45:14;2026-04-18T13:19:55;41.21;-102.99;false;true;1;23
24;bashfully advanced;wafer mockingly;2026-04-18T07:58:31;2026-04-18T00:10:02;9.42;-24.97;false;true;1;24
25;unfinished immediately fooey;boohoo woot mid;2026-04-17T14:55:17;2026-04-18T06:33:06;-82.72;25.85;true;false;2;25
26;when scorn ill-fated;abaft anenst between;2026-04-18T10:50:01;2026-04-18T05:56:26;-39.24;-155.86;true;true;2;26
27;affect healthily;slump hateful uh-huh;2026-04-17T19:18:37;2026-04-18T09:57:46;-82.76;37.5;false;true;1;27
28;woot past um;except;2026-04-17T14:54:33;2026-04-17T20:11:17;76.7;-107.76;false;true;2;28
29;liberalize beloved qua;moisten;2026-04-18T07:08:31;2026-04-18T06:49:21;52.75;30.84;true;true;2;29
30;sad;upon why;2026-04-18T01:48:29;2026-04-17T18:51:07;-31.85;162.14;false;false;1;30
